id,title,rank,score,cover_url,cover_path
6547,Angel Beats!,614,8.05,https://cdn.myanimelist.net/images/anime/1244/111115l.webp,data/covers/6547_Angel_Beats_.jpg
24833,Ansatsu Kyoushitsu,589,8.07,https://cdn.myanimelist.net/images/anime/5/75639l.jpg,data/covers/24833_Ansatsu_Kyoushitsu.jpg
269,Bleach,716,7.98,https://cdn.myanimelist.net/images/anime/1541/147774l.webp,data/covers/269_Bleach.jpg
20583,Haikyuu!!,187,8.43,https://cdn.myanimelist.net/images/anime/7/76014l.webp,data/covers/20583_Haikyuu_.jpg
37779,Yakusoku no Neverland,160,8.48,https://cdn.myanimelist.net/images/anime/1830/118780l.jpg,data/covers/37779_Yakusoku_no_Neverland.jpg
10620,Mirai Nikki (TV),2515,7.38,https://cdn.myanimelist.net/images/anime/13/33465l.webp,data/covers/10620_Mirai_Nikki_TV_.jpg
30831,Kono Subarashii Sekai ni Shukufuku wo!,558,8.09,https://cdn.myanimelist.net/images/anime/1895/142748l.jpg,data/covers/30831_Kono_Subarashii_Sekai_ni_Shukufuku_wo_.jpg
21881,Sword Art Online II,5966,6.71,https://cdn.myanimelist.net/images/anime/1223/121999l.webp,data/covers/21881_Sword_Art_Online_II.jpg
9919,Ao no Exorcist,2132,7.47,https://cdn.myanimelist.net/images/anime/10/75195l.jpg,data/covers/9919_Ao_no_Exorcist.jpg
1,Cowboy Bebop,46,8.75,https://cdn.myanimelist.net/images/anime/4/19644l.jpg,data/covers/1_Cowboy_Bebop.jpg
22535,Kiseijuu: Sei no Kakuritsu,277,8.32,https://cdn.myanimelist.net/images/anime/3/73178l.jpg,data/covers/22535_Kiseijuu_Sei_no_Kakuritsu.jpg
199,Sen to Chihiro no Kamikakushi,40,8.77,https://cdn.myanimelist.net/images/anime/6/79597l.jpg,data/covers/199_Sen_to_Chihiro_no_Kamikakushi.jpg
30,Shinseiki Evangelion,245,8.36,https://cdn.myanimelist.net/images/anime/1314/108941l.jpg,data/covers/30_Shinseiki_Evangelion.jpg
33352,Violet Evergarden,68,8.69,https://cdn.myanimelist.net/images/anime/1795/95088l.jpg,data/covers/33352_Violet_Evergarden.jpg
2904,Code Geass: Hangyaku no Lelouch R2,20,8.91,https://cdn.myanimelist.net/images/anime/1088/135089l.webp,data/covers/2904_Code_Geass_Hangyaku_no_Lelouch_R2.jpg
